
🚀 猫课电商管理落地班核心工具
📍 访问地址: http://localhost:5009
📊 模块数量: 6
🤖 默认模型: gemini-3-flash-preview

 * Serving Flask app 'app'
 * Debug mode: off
Address already in use
Port 5009 is in use by another program. Either identify and stop that program, or start the server with a different port.
2026-01-04 15:08:51,717 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:08:51,827 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:08:52,034 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:10:04,289 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:10:04,506 [WARNING] __main__: 404 错误: http://localhost:5009/favicon.ico
2026-01-04 15:10:36,317 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:10:36,445 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:10:51,357 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:11:17,468 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:11:17,570 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:15:21,961 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:15:22,064 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:15:22,145 [WARNING] __main__: 404 错误: http://localhost:5009/favicon.ico
2026-01-04 15:16:22,333 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:16:22,450 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:16:54,066 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:16:54,513 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:16:56,371 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:16:56,487 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:16:56,720 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:17:03,340 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.strategy "HTTP/2 200 OK"
2026-01-04 15:17:03,456 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:17:03,621 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:17:03,739 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.strategy "HTTP/2 200 OK"
2026-01-04 15:18:17,907 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:18:18,050 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:18:18,130 [WARNING] __main__: 404 错误: http://localhost:5009/favicon.ico
2026-01-04 15:18:19,486 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:18:27,624 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:18:27,722 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:18:28,764 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:18:39,619 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:18:39,727 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:18:41,213 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:18:55,158 [INFO] httpx: HTTP Request: POST https://uitkbrmndylhgbbcjykd.supabase.co/auth/v1/signup "HTTP/2 200 OK"
